payment_id,loan_id,member_id,branch,due_date,payment_date,installment_due_kes,amount_paid_kes,days_late,payment_status
PAY0000001,LN00001,MEM0001,Nakuru,2024-08-18,2024-08-22,25576.46,25576.46,4,Paid on Time
PAY0000002,LN00001,MEM0001,Nakuru,2024-09-18,2024-09-22,25576.46,25576.46,4,Paid on Time
PAY0000003,LN00001,MEM0001,Nakuru,2024-10-18,2024-10-23,25576.46,25576.46,5,Paid on Time
PAY0000004,LN00001,MEM0001,Nakuru,2024-11-18,2024-11-21,25576.46,25576.46,3,Paid on Time
PAY0000005,LN00001,MEM0001,Nakuru,2024-12-18,2024-12-22,25576.46,25576.46,4,Paid on Time
PAY0000006,LN00002,MEM0001,Nakuru,2024-04-19,2024-05-07,22258.74,22258.74,18,Late Payment
PAY0000007,LN00002,MEM0001,Nakuru,2024-05-19,2024-05-21,22258.74,22258.74,2,Paid on Time
PAY0000008,LN00002,MEM0001,Nakuru,2024-06-19,2024-06-21,22258.74,22258.74,2,Paid on Time
PAY0000009,LN00002,MEM0001,Nakuru,2024-07-19,2024-07-21,22258.74,22258.74,2,Paid on Time
PAY0000010,LN00002,MEM0001,Nakuru,2024-08-19,2024-08-19,22258.74,22258.74,0,Paid on Time
PAY0000011,LN00002,MEM0001,Nakuru,2024-09-19,2024-09-22,22258.74,22258.74,3,Paid on Time
PAY0000012,LN00003,MEM0001,Nakuru,2024-05-10,2024-05-13,6289.69,6289.69,3,Paid on Time
PAY0000013,LN00003,MEM0001,Nakuru,2024-06-10,2024-06-13,6289.69,6289.69,3,Paid on Time
PAY0000014,LN00003,MEM0001,Nakuru,2024-07-10,2024-07-12,6289.69,6289.69,2,Paid on Time
PAY0000015,LN00003,MEM0001,Nakuru,2024-08-10,2024-08-10,6289.69,6289.69,0,Paid on Time
PAY0000016,LN00003,MEM0001,Nakuru,2024-09-10,2024-09-10,6289.69,6289.69,0,Paid on Time
