transaction_id,member_id,branch,transaction_date,transaction_type,amount_kes,balance_after_kes,notes
SAV000001,MEM0001,Nakuru,2023-01-01,Deposit,1540.0,1540.0,Monthly contribution
SAV000002,MEM0001,Nakuru,2023-02-02,Deposit,1570.0,3110.0,Monthly contribution
SAV000003,MEM0001,Nakuru,2023-03-06,Deposit,1420.0,4530.0,Monthly contribution
SAV000004,MEM0001,Nakuru,2023-04-06,Deposit,1380.0,5910.0,Monthly contribution
SAV000005,MEM0001,Nakuru,2023-05-01,Deposit,1620.0,7530.0,Monthly contribution
SAV000006,MEM0001,Nakuru,2023-06-01,Deposit,1530.0,9060.0,Monthly contribution
SAV000007,MEM0001,Nakuru,2023-07-02,Deposit,1360.0,10420.0,Monthly contribution
SAV000008,MEM0001,Nakuru,2023-08-05,Deposit,1420.0,11840.0,Monthly contribution
SAV000009,MEM0001,Nakuru,2023-09-02,Deposit,1360.0,13200.0,Monthly contribution
SAV000010,MEM0001,Nakuru,2023-10-06,Deposit,1560.0,14760.0,Monthly contribution
SAV000011,MEM0001,Nakuru,2023-11-02,Deposit,1510.0,16270.0,Monthly contribution
SAV000012,MEM0001,Nakuru,2023-12-03,Deposit,1480.0,17750.0,Monthly contribution
SAV000013,MEM0001,Nakuru,2024-01-01,Deposit,1590.0,19340.0,Monthly contribution
SAV000014,MEM0001,Nakuru,2024-02-02,Deposit,1580.0,20920.0,Monthly contribution
SAV000015,MEM0001,Nakuru,2024-03-03,Deposit,1560.0,22480.0,Monthly contribution
SAV000016,MEM0001,Nakuru,2024-04-02,Deposit,1430.0,23910.0,Monthly contribution
SAV000017,MEM0001,Nakuru,2024-05-03,Deposit,1640.0,25550.0,Monthly contribution
SAV000018,MEM0001,Nakuru,2024-06-04,Deposit,1380.0,26930.0,Monthly contribution
SAV000019,MEM0001,Nakuru,2024-07-03,Deposit,1380.0,28310.0,Monthly contribution
SAV000020,MEM0001,Nakuru,2024-08-01,Deposit,1530.0,29840.0,Monthly contribution
SAV000025,MEM0001,Nakuru,2024-08-14,Withdrawal,-10000.0,19840.0,Member withdrawal request
SAV000021,MEM0001,Nakuru,2024-09-05,Deposit,1570.0,21410.0,Monthly contribution
SAV000022,MEM0001,Nakuru,2024-10-04,Deposit,1390.0,22800.0,Monthly contribution
SAV000023,MEM0001,Nakuru,2024-11-03,Deposit,1370.0,24170.0,Monthly contribution
SAV000024,MEM0001,Nakuru,2024-12-05,Deposit,1600.0,25770.0,Monthly contribution
SAV000026,MEM0002,Nairobi,2023-01-01,Deposit,5200.0,5200.0,Monthly contribution
SAV000027,MEM0002,Nairobi,2023-02-03,Deposit,5160.0,10360.0,Monthly contribution
SAV000028,MEM0002,Nairobi,2023-03-02,Deposit,5490.0,15850.0,Monthly contribution
SAV000029,MEM0002,Nairobi,2023-04-04,Deposit,5370.0,21220.0,Monthly contribution
SAV000030,MEM0002,Nairobi,2023-05-06,Deposit,4780.0,26000.0,Monthly contribution
SAV000031,MEM0002,Nairobi,2023-06-02,Deposit,5330.0,31330.0,Monthly contribution
SAV000032,MEM0002,Nairobi,2023-07-02,Deposit,4870.0,36200.0,Monthly contribution
SAV000033,MEM0002,Nairobi,2023-08-06,Deposit,5170.0,41370.0,Monthly contribution
SAV000034,MEM0002,Nairobi,2023-09-06,Deposit,5440.0,46810.0,Monthly contribution
SAV000035,MEM0002,Nairobi,2023-10-06,Deposit,4570.0,51380.0,Monthly contribution
SAV000036,MEM0002,Nairobi,2023-11-06,Deposit,4670.0,56050.0,Monthly contribution
SAV000037,MEM0002,Nairobi,2023-12-04,Deposit,4740.0,60790.0,Monthly contribution
SAV000038,MEM0002,Nairobi,2024-01-06,Deposit,4880.0,65670.0,Monthly contribution
SAV000039,MEM0002,Nairobi,2024-02-02,Deposit,5190.0,70860.0,Monthly contribution
SAV000040,MEM0002,Nairobi,2024-03-01,Deposit,5180.0,76040.0,Monthly contribution
SAV000041,MEM0002,Nairobi,2024-04-01,Deposit,4730.0,80770.0,Monthly contribution
SAV000042,MEM0002,Nairobi,2024-05-04,Deposit,5310.0,86080.0,Monthly contribution
SAV000043,MEM0002,Nairobi,2024-06-02,Deposit,4770.0,90850.0,Monthly contribution
SAV000044,MEM0002,Nairobi,2024-07-05,Deposit,5410.0,96260.0,Monthly contribution
SAV000050,MEM0002,Nairobi,2024-07-05,Withdrawal,-15000.0,81260.0,Member withdrawal request
SAV000045,MEM0002,Nairobi,2024-08-03,Deposit,5380.0,86640.0,Monthly contribution
SAV000051,MEM0002,Nairobi,2024-08-21,Withdrawal,-20000.0,66640.0,Member withdrawal request
SAV000046,MEM0002,Nairobi,2024-09-04,Deposit,4710.0,71350.0,Monthly contribution
SAV000047,MEM0002,Nairobi,2024-10-06,Deposit,4900.0,76250.0,Monthly contribution
SAV000048,MEM0002,Nairobi,2024-11-03,Deposit,4960.0,81210.0,Monthly contribution
SAV000049,MEM0002,Nairobi,2024-12-06,Deposit,4640.0,85850.0,Monthly contribution
SAV000052,MEM0003,Mombasa,2023-01-04,Deposit,2160.0,2160.0,Monthly contribution
SAV000053,MEM0003,Mombasa,2023-02-02,Deposit,1940.0,4100.0,Monthly contribution
SAV000054,MEM0003,Mombasa,2023-03-01,Deposit,2000.0,6100.0,Monthly contribution
SAV000055,MEM0003,Mombasa,2023-04-01,Deposit,2100.0,8200.0,Monthly contribution
SAV000056,MEM0003,Mombasa,2023-05-02,Deposit,1860.0,10060.0,Monthly contribution
SAV000057,MEM0003,Mombasa,2023-06-04,Deposit,2120.0,12180.0,Monthly contribution
SAV000058,MEM0003,Mombasa,2023-07-04,Deposit,2040.0,14220.0,Monthly contribution
SAV000059,MEM0003,Mombasa,2023-08-04,Deposit,1950.0,16170.0,Monthly contribution
SAV000060,MEM0003,Mombasa,2023-09-05,Deposit,2010.0,18180.0,Monthly contribution
SAV000061,MEM0003,Mombasa,2023-10-01,Deposit,2140.0,20320.0,Monthly contribution
SAV000062,MEM0003,Mombasa,2023-11-01,Deposit,2070.0,22390.0,Monthly contribution
SAV000063,MEM0003,Mombasa,2023-12-05,Deposit,2070.0,24460.0,Monthly contribution
SAV000064,MEM0003,Mombasa,2024-01-06,Deposit,2100.0,26560.0,Monthly contribution
SAV000065,MEM0003,Mombasa,2024-02-03,Deposit,1940.0,28500.0,Monthly contribution
SAV000066,MEM0003,Mombasa,2024-03-04,Deposit,1970.0,30470.0,Monthly contribution
SAV000067,MEM0003,Mombasa,2024-04-06,Deposit,1800.0,32270.0,Monthly contribution
SAV000068,MEM0003,Mombasa,2024-05-03,Deposit,2150.0,34420.0,Monthly contribution
SAV000069,MEM0003,Mombasa,2024-06-02,Deposit,2190.0,36610.0,Monthly contribution
SAV000070,MEM0003,Mombasa,2024-07-01,Deposit,2000.0,38610.0,Monthly contribution
SAV000071,MEM0003,Mombasa,2024-08-03,Deposit,2150.0,40760.0,Monthly contribution
SAV000072,MEM0003,Mombasa,2024-09-05,Deposit,2140.0,42900.0,Monthly contribution
SAV000073,MEM0003,Mombasa,2024-10-02,Deposit,2040.0,44940.0,Monthly contribution
SAV000074,MEM0003,Mombasa,2024-11-02,Deposit,1950.0,46890.0,Monthly contribution
SAV000075,MEM0003,Mombasa,2024-12-05,Deposit,2020.0,48910.0,Monthly contribution
SAV000076,MEM0004,Nairobi,2023-01-04,Deposit,2040.0,2040.0,Monthly contribution
SAV000077,MEM0004,Nairobi,2023-02-03,Deposit,1810.0,3850.0,Monthly contribution
SAV000078,MEM0004,Nairobi,2023-03-03,Deposit,2150.0,6000.0,Monthly contribution
SAV000079,MEM0004,Nairobi,2023-04-02,Deposit,1900.0,7900.0,Monthly contribution
SAV000080,MEM0004,Nairobi,2023-05-01,Deposit,2150.0,10050.0,Monthly contribution
SAV000081,MEM0004,Nairobi,2023-06-04,Deposit,1830.0,11880.0,Monthly contribution
SAV000082,MEM0004,Nairobi,2023-07-05,Deposit,2130.0,14010.0,Monthly contribution
SAV000083,MEM0004,Nairobi,2023-08-02,Deposit,2110.0,16120.0,Monthly contribution
SAV000084,MEM0004,Nairobi,2023-09-05,Deposit,2060.0,18180.0,Monthly contribution
SAV000085,MEM0004,Nairobi,2023-10-05,Deposit,1870.0,20050.0,Monthly contribution
SAV000086,MEM0004,Nairobi,2023-11-04,Deposit,2150.0,22200.0,Monthly contribution
SAV000087,MEM0004,Nairobi,2023-12-05,Deposit,2190.0,24390.0,Monthly contribution
SAV000088,MEM0004,Nairobi,2024-01-06,Deposit,2100.0,26490.0,Monthly contribution
SAV000089,MEM0004,Nairobi,2024-02-03,Deposit,1880.0,28370.0,Monthly contribution
SAV000090,MEM0004,Nairobi,2024-03-06,Deposit,1960.0,30330.0,Monthly contribution
SAV000091,MEM0004,Nairobi,2024-04-04,Deposit,2060.0,32390.0,Monthly contribution
SAV000092,MEM0004,Nairobi,2024-05-04,Deposit,2160.0,34550.0,Monthly contribution
SAV000093,MEM0004,Nairobi,2024-06-02,Deposit,1850.0,36400.0,Monthly contribution
SAV000094,MEM0004,Nairobi,2024-07-01,Deposit,1830.0,38230.0,Monthly contribution
SAV000095,MEM0004,Nairobi,2024-08-02,Deposit,2040.0,40270.0,Monthly contribution
SAV000096,MEM0004,Nairobi,2024-09-01,Deposit,2040.0,42310.0,Monthly contribution
SAV000097,MEM0004,Nairobi,2024-10-06,Deposit,1830.0,44140.0,Monthly contribution
SAV000098,MEM0004,Nairobi,2024-11-01,Deposit,1820.0,45960.0,Monthly contribution
SAV000099,MEM0004,Nairobi,2024-12-03,Deposit,2160.0,48120.0,Monthly contribution
SAV000100,MEM0005,Nakuru,2023-01-03,Deposit,1000.0,1000.0,Monthly contribution
SAV000124,MEM0005,Nakuru,2023-01-03,Withdrawal,-20000.0,-19000.0,Member withdrawal request
SAV000101,MEM0005,Nakuru,2023-02-02,Deposit,1030.0,-17970.0,Monthly contribution
SAV000102,MEM0005,Nakuru,2023-03-06,Deposit,1010.0,-16960.0,Monthly contribution
SAV000103,MEM0005,Nakuru,2023-04-05,Deposit,1090.0,-15870.0,Monthly contribution
SAV000104,MEM0005,Nakuru,2023-05-02,Deposit,1020.0,-14850.0,Monthly contribution
SAV000105,MEM0005,Nakuru,2023-06-04,Deposit,1060.0,-13790.0,Monthly contribution
SAV000106,MEM0005,Nakuru,2023-07-01,Deposit,940.0,-12850.0,Monthly contribution
SAV000107,MEM0005,Nakuru,2023-08-03,Deposit,1030.0,-11820.0,Monthly contribution
SAV000108,MEM0005,Nakuru,2023-09-04,Deposit,980.0,-10840.0,Monthly contribution
SAV000109,MEM0005,Nakuru,2023-10-01,Deposit,1070.0,-9770.0,Monthly contribution
SAV000110,MEM0005,Nakuru,2023-11-06,Deposit,1030.0,-8740.0,Monthly contribution
SAV000111,MEM0005,Nakuru,2023-12-04,Deposit,920.0,-7820.0,Monthly contribution
SAV000112,MEM0005,Nakuru,2024-01-01,Deposit,1050.0,-6770.0,Monthly contribution
SAV000113,MEM0005,Nakuru,2024-02-02,Deposit,950.0,-5820.0,Monthly contribution
SAV000114,MEM0005,Nakuru,2024-03-02,Deposit,1010.0,-4810.0,Monthly contribution
SAV000115,MEM0005,Nakuru,2024-04-03,Deposit,980.0,-3830.0,Monthly contribution
SAV000116,MEM0005,Nakuru,2024-05-01,Deposit,990.0,-2840.0,Monthly contribution
SAV000117,MEM0005,Nakuru,2024-06-05,Deposit,990.0,-1850.0,Monthly contribution
SAV000118,MEM0005,Nakuru,2024-07-06,Deposit,920.0,-930.0,Monthly contribution
SAV000119,MEM0005,Nakuru,2024-08-01,Deposit,1100.0,170.0,Monthly contribution
SAV000120,MEM0005,Nakuru,2024-09-02,Deposit,1090.0,1260.0,Monthly contribution
SAV000121,MEM0005,Nakuru,2024-10-04,Deposit,930.0,2190.0,Monthly contribution
SAV000122,MEM0005,Nakuru,2024-11-04,Deposit,1000.0,3190.0,Monthly contribution
SAV000123,MEM0005,Nakuru,2024-12-02,Deposit,1080.0,4270.0,Monthly contribution
SAV000125,MEM0006,Kisumu,2023-01-04,Deposit,950.0,950.0,Monthly contribution
SAV000126,MEM0006,Kisumu,2023-02-06,Deposit,960.0,1910.0,Monthly contribution
SAV000127,MEM0006,Kisumu,2023-03-05,Deposit,1090.0,3000.0,Monthly contribution
SAV000128,MEM0006,Kisumu,2023-04-04,Deposit,1030.0,4030.0,Monthly contribution
SAV000129,MEM0006,Kisumu,2023-05-03,Deposit,930.0,4960.0,Monthly contribution
SAV000130,MEM0006,Kisumu,2023-06-01,Deposit,940.0,5900.0,Monthly contribution
SAV000131,MEM0006,Kisumu,2023-07-05,Deposit,1020.0,6920.0,Monthly contribution
SAV000132,MEM0006,Kisumu,2023-08-03,Deposit,910.0,7830.0,Monthly contribution
SAV000133,MEM0006,Kisumu,2023-09-05,Deposit,910.0,8740.0,Monthly contribution
SAV000134,MEM0006,Kisumu,2023-10-05,Deposit,1000.0,9740.0,Monthly contribution
SAV000135,MEM0006,Kisumu,2023-11-05,Deposit,930.0,10670.0,Monthly contribution
SAV000136,MEM0006,Kisumu,2023-12-02,Deposit,920.0,11590.0,Monthly contribution
SAV000137,MEM0006,Kisumu,2024-01-01,Deposit,910.0,12500.0,Monthly contribution
SAV000138,MEM0006,Kisumu,2024-02-02,Deposit,1040.0,13540.0,Monthly contribution
SAV000139,MEM0006,Kisumu,2024-03-05,Deposit,980.0,14520.0,Monthly contribution
SAV000140,MEM0006,Kisumu,2024-04-05,Deposit,950.0,15470.0,Monthly contribution
SAV000141,MEM0006,Kisumu,2024-05-01,Deposit,910.0,16380.0,Monthly contribution
SAV000142,MEM0006,Kisumu,2024-06-05,Deposit,980.0,17360.0,Monthly contribution
SAV000143,MEM0006,Kisumu,2024-07-03,Deposit,1010.0,18370.0,Monthly contribution
SAV000144,MEM0006,Kisumu,2024-08-02,Deposit,1090.0,19460.0,Monthly contribution
SAV000145,MEM0006,Kisumu,2024-09-03,Deposit,1030.0,20490.0,Monthly contribution
SAV000146,MEM0006,Kisumu,2024-10-04,Deposit,950.0,21440.0,Monthly contribution
SAV000147,MEM0006,Kisumu,2024-11-06,Deposit,930.0,22370.0,Monthly contribution
SAV000148,MEM0006,Kisumu,2024-12-03,Deposit,960.0,23330.0,Monthly contribution
SAV000149,MEM0007,Nairobi,2023-01-05,Deposit,450.0,450.0,Monthly contribution
SAV000150,MEM0007,Nairobi,2023-02-01,Deposit,550.0,1000.0,Monthly contribution
SAV000151,MEM0007,Nairobi,2023-03-02,Deposit,460.0,1460.0,Monthly contribution
SAV000152,MEM0007,Nairobi,2023-04-02,Deposit,500.0,1960.0,Monthly contribution
SAV000153,MEM0007,Nairobi,2023-05-01,Deposit,540.0,2500.0,Monthly contribution
SAV000154,MEM0007,Nairobi,2023-06-03,Deposit,540.0,3040.0,Monthly contribution
SAV000155,MEM0007,Nairobi,2023-07-04,Deposit,480.0,3520.0,Monthly contribution
SAV000156,MEM0007,Nairobi,2023-08-06,Deposit,530.0,4050.0,Monthly contribution
SAV000157,MEM0007,Nairobi,2023-09-06,Deposit,480.0,4530.0,Monthly contribution
SAV000158,MEM0007,Nairobi,2023-10-06,Deposit,500.0,5030.0,Monthly contribution
SAV000159,MEM0007,Nairobi,2023-11-03,Deposit,530.0,5560.0,Monthly contribution
SAV000160,MEM0007,Nairobi,2023-12-01,Deposit,540.0,6100.0,Monthly contribution
SAV000161,MEM0007,Nairobi,2024-01-02,Deposit,540.0,6640.0,Monthly contribution
SAV000162,MEM0007,Nairobi,2024-02-01,Deposit,480.0,7120.0,Monthly contribution
SAV000163,MEM0007,Nairobi,2024-03-02,Deposit,520.0,7640.0,Monthly contribution
SAV000164,MEM0007,Nairobi,2024-04-05,Deposit,480.0,8120.0,Monthly contribution
SAV000165,MEM0007,Nairobi,2024-05-03,Deposit,470.0,8590.0,Monthly contribution
SAV000166,MEM0007,Nairobi,2024-06-06,Deposit,470.0,9060.0,Monthly contribution
SAV000167,MEM0007,Nairobi,2024-07-05,Deposit,540.0,9600.0,Monthly contribution
SAV000168,MEM0007,Nairobi,2024-08-01,Deposit,500.0,10100.0,Monthly contribution
SAV000169,MEM0007,Nairobi,2024-09-04,Deposit,460.0,10560.0,Monthly contribution
SAV000170,MEM0007,Nairobi,2024-10-01,Deposit,530.0,11090.0,Monthly contribution
SAV000171,MEM0007,Nairobi,2024-11-02,Deposit,450.0,11540.0,Monthly contribution
SAV000172,MEM0007,Nairobi,2024-12-03,Deposit,510.0,12050.0,Monthly contribution
SAV000173,MEM0008,Nairobi,2023-01-05,Deposit,3140.0,3140.0,Monthly contribution
SAV000174,MEM0008,Nairobi,2023-02-05,Deposit,3120.0,6260.0,Monthly contribution
SAV000175,MEM0008,Nairobi,2023-03-01,Deposit,2710.0,8970.0,Monthly contribution
SAV000176,MEM0008,Nairobi,2023-04-06,Deposit,3270.0,12240.0,Monthly contribution
SAV000177,MEM0008,Nairobi,2023-05-05,Deposit,3240.0,15480.0,Monthly contribution
SAV000178,MEM0008,Nairobi,2023-06-03,Deposit,2720.0,18200.0,Monthly contribution
SAV000179,MEM0008,Nairobi,2023-07-02,Deposit,3050.0,21250.0,Monthly contribution
SAV000180,MEM0008,Nairobi,2023-08-01,Deposit,2960.0,24210.0,Monthly contribution
SAV000181,MEM0008,Nairobi,2023-09-01,Deposit,2880.0,27090.0,Monthly contribution
SAV000182,MEM0008,Nairobi,2023-10-02,Deposit,3240.0,30330.0,Monthly contribution
SAV000183,MEM0008,Nairobi,2023-11-06,Deposit,3110.0,33440.0,Monthly contribution
SAV000184,MEM0008,Nairobi,2023-12-05,Deposit,2760.0,36200.0,Monthly contribution
SAV000185,MEM0008,Nairobi,2024-01-04,Deposit,3230.0,39430.0,Monthly contribution
SAV000186,MEM0008,Nairobi,2024-02-06,Deposit,3280.0,42710.0,Monthly contribution
SAV000187,MEM0008,Nairobi,2024-03-02,Deposit,2790.0,45500.0,Monthly contribution
SAV000188,MEM0008,Nairobi,2024-04-02,Deposit,3220.0,48720.0,Monthly contribution
SAV000189,MEM0008,Nairobi,2024-05-01,Deposit,3230.0,51950.0,Monthly contribution
SAV000190,MEM0008,Nairobi,2024-06-03,Deposit,2810.0,54760.0,Monthly contribution
SAV000191,MEM0008,Nairobi,2024-07-04,Deposit,3170.0,57930.0,Monthly contribution
SAV000192,MEM0008,Nairobi,2024-08-06,Deposit,3180.0,61110.0,Monthly contribution
SAV000193,MEM0008,Nairobi,2024-09-03,Deposit,3190.0,64300.0,Monthly contribution
SAV000194,MEM0008,Nairobi,2024-10-06,Deposit,2800.0,67100.0,Monthly contribution
SAV000195,MEM0008,Nairobi,2024-11-01,Deposit,2760.0,69860.0,Monthly contribution
SAV000196,MEM0008,Nairobi,2024-12-02,Deposit,3220.0,73080.0,Monthly contribution
SAV000197,MEM0009,Kisumu,2023-01-04,Deposit,2130.0,2130.0,Monthly contribution
SAV000198,MEM0009,Kisumu,2023-02-02,Deposit,1940.0,4070.0,Monthly contribution
SAV000199,MEM0009,Kisumu,2023-03-06,Deposit,1890.0,5960.0,Monthly contribution
SAV000200,MEM0009,Kisumu,2023-04-03,Deposit,1880.0,7840.0,Monthly contribution
SAV000201,MEM0009,Kisumu,2023-05-01,Deposit,1910.0,9750.0,Monthly contribution
SAV000202,MEM0009,Kisumu,2023-06-03,Deposit,2190.0,11940.0,Monthly contribution
SAV000203,MEM0009,Kisumu,2023-07-05,Deposit,1940.0,13880.0,Monthly contribution
SAV000204,MEM0009,Kisumu,2023-08-05,Deposit,1960.0,15840.0,Monthly contribution
SAV000205,MEM0009,Kisumu,2023-09-01,Deposit,1930.0,17770.0,Monthly contribution
SAV000206,MEM0009,Kisumu,2023-10-03,Deposit,1850.0,19620.0,Monthly contribution
SAV000207,MEM0009,Kisumu,2023-11-03,Deposit,1870.0,21490.0,Monthly contribution
SAV000208,MEM0009,Kisumu,2023-12-05,Deposit,1820.0,23310.0,Monthly contribution
SAV000209,MEM0009,Kisumu,2024-01-06,Deposit,1970.0,25280.0,Monthly contribution
SAV000210,MEM0009,Kisumu,2024-02-04,Deposit,2110.0,27390.0,Monthly contribution
SAV000211,MEM0009,Kisumu,2024-03-05,Deposit,2040.0,29430.0,Monthly contribution
SAV000212,MEM0009,Kisumu,2024-04-05,Deposit,1850.0,31280.0,Monthly contribution
SAV000213,MEM0009,Kisumu,2024-05-01,Deposit,1880.0,33160.0,Monthly contribution
